distance_km,time_of_day,day_of_week,traffic_level,weather,area_type,driver_response_time_mins,available_ambulances_nearby,delay_minutes,delay_risk
9.59,16,4,Low,Rain,Urban,4.3,0,27.4,Severe Delay
7.77,0,0,Low,Rain,Rural,0.9,4,0.0,No Delay
2.22,4,4,High,Clear,Urban,1.0,1,5.0,Moderate Delay
1.52,15,0,Medium,Clear,Suburban,3.4,0,3.1,Moderate Delay
29.64,14,6,Low,Clear,Urban,4.8,0,45.1,Severe Delay
13.41,1,5,Medium,Clear,Suburban,2.6,3,10.0,Moderate Delay
12.15,8,5,High,Fog,Urban,4.8,3,130.1,Severe Delay
20.71,6,2,Low,Clear,Urban,4.7,4,8.3,Moderate Delay
7.33,3,6,Medium,Clear,Rural,4.6,3,5.2,Moderate Delay
28.55,19,0,High,Rain,Urban,4.6,0,410.4,Severe Delay
23.8,17,3,Low,Clear,Rural,4.5,0,31.9,Severe Delay
3.59,20,4,Medium,Clear,Suburban,4.2,1,1.0,No Delay
13.11,3,6,Medium,Clear,Urban,3.6,3,19.7,Severe Delay
26.49,12,0,Medium,Clear,Suburban,0.6,2,22.9,Severe Delay
28.4,0,5,Low,Rain,Urban,1.1,3,33.9,Severe Delay
14.55,23,5,Low,Clear,Suburban,1.1,0,11.9,Severe Delay
18.79,2,4,Medium,Clear,Rural,0.6,1,8.0,Moderate Delay
5.84,15,3,Low,Rain,Urban,1.0,3,6.0,Moderate Delay
29.74,21,0,Medium,Clear,Suburban,4.6,1,30.5,Severe Delay
7.72,3,0,Low,Rain,Urban,3.5,3,8.7,Moderate Delay
28.34,22,3,Low,Fog,Suburban,1.9,4,25.7,Severe Delay
19.84,15,3,High,Clear,Urban,4.1,0,138.2,Severe Delay
18.62,18,3,Medium,Clear,Urban,2.7,0,106.1,Severe Delay
15.87,0,5,High,Clear,Rural,1.1,2,30.1,Severe Delay
7.69,4,4,Low,Rain,Urban,4.5,0,22.9,Severe Delay
6.12,18,6,Medium,Clear,Suburban,2.0,2,14.8,Severe Delay
7.39,21,3,Low,Clear,Suburban,3.6,0,7.7,Moderate Delay
6.41,23,4,Medium,Fog,Suburban,1.8,3,14.5,Severe Delay
23.61,10,2,Medium,Clear,Suburban,2.8,3,24.2,Severe Delay
11.15,12,0,Low,Clear,Suburban,4.2,4,0.0,No Delay
2.68,19,0,High,Rain,Urban,1.2,3,26.1,Severe Delay
29.1,4,1,Low,Clear,Rural,4.9,1,0.0,No Delay
26.63,20,2,Medium,Rain,Rural,0.8,3,30.4,Severe Delay
27.9,3,6,High,Rain,Urban,2.9,2,161.9,Severe Delay
29.85,3,3,High,Clear,Urban,4.6,4,120.1,Severe Delay
6.04,3,3,High,Snow,Suburban,4.8,1,43.7,Severe Delay
12.49,3,6,Low,Clear,Rural,1.5,1,0.0,No Delay
22.99,19,5,Low,Snow,Rural,1.1,0,91.3,Severe Delay
21.18,20,2,Low,Clear,Rural,3.8,2,0.0,No Delay
5.46,17,3,Medium,Clear,Urban,0.7,3,18.5,Severe Delay
24.66,17,1,Medium,Clear,Rural,2.7,3,33.0,Severe Delay
7.51,15,4,Low,Clear,Rural,4.1,0,5.9,Moderate Delay
7.49,8,0,Medium,Rain,Urban,3.0,3,33.5,Severe Delay
16.57,17,2,Low,Rain,Urban,1.3,1,37.8,Severe Delay
18.2,21,0,Low,Rain,Urban,2.7,3,21.3,Severe Delay
17.82,1,4,Medium,Clear,Suburban,4.6,3,16.7,Severe Delay
3.65,20,2,Medium,Clear,Urban,3.3,1,4.8,Moderate Delay
26.45,3,4,High,Rain,Urban,3.7,2,153.9,Severe Delay
8.7,11,3,Low,Clear,Urban,2.0,2,5.3,Moderate Delay
4.76,6,6,Medium,Rain,Urban,1.3,1,13.4,Severe Delay
26.77,14,3,Low,Rain,Urban,1.7,1,30.2,Severe Delay
28.71,6,6,Low,Clear,Suburban,2.9,4,3.8,Moderate Delay
26.0,21,3,Medium,Rain,Urban,1.8,4,71.1,Severe Delay
24.48,20,4,High,Rain,Rural,2.9,3,77.7,Severe Delay
20.0,16,4,Low,Rain,Rural,3.7,3,3.8,Moderate Delay
16.97,15,4,Low,Clear,Rural,3.8,4,0.0,No Delay
3.52,18,0,Medium,Clear,Suburban,1.2,3,9.0,Moderate Delay
12.85,8,4,Low,Clear,Urban,3.9,2,18.6,Severe Delay
11.81,13,3,High,Clear,Urban,3.5,2,47.2,Severe Delay
8.53,16,1,Medium,Clear,Urban,0.6,0,27.6,Severe Delay
21.98,4,4,Low,Fog,Rural,0.8,4,8.7,Moderate Delay
15.38,1,1,Medium,Rain,Urban,3.4,2,40.3,Severe Delay
3.35,19,6,Medium,Clear,Suburban,2.2,0,14.9,Severe Delay
7.39,15,3,Low,Clear,Suburban,1.2,1,0.8,No Delay
20.81,13,4,Medium,Snow,Rural,0.7,2,44.3,Severe Delay
3.21,13,0,Low,Clear,Suburban,1.2,0,3.9,Moderate Delay
25.69,0,0,Medium,Rain,Suburban,4.8,3,54.7,Severe Delay
15.36,2,6,Low,Snow,Urban,3.8,0,68.2,Severe Delay
14.94,6,1,High,Rain,Suburban,2.9,2,69.2,Severe Delay
18.18,14,5,Low,Snow,Urban,4.7,3,43.7,Severe Delay
24.92,18,0,Low,Rain,Rural,3.3,3,19.4,Severe Delay
11.09,19,0,High,Clear,Suburban,3.8,0,95.3,Severe Delay
20.66,1,0,Low,Clear,Urban,1.8,0,31.4,Severe Delay
17.41,18,3,Low,Clear,Rural,3.2,2,3.8,Moderate Delay
8.74,8,0,Low,Clear,Urban,1.1,3,9.0,Moderate Delay
26.48,18,2,Low,Rain,Rural,2.3,4,25.0,Severe Delay
24.13,4,4,High,Clear,Rural,0.6,0,95.8,Severe Delay
20.1,17,6,Medium,Fog,Rural,1.5,4,63.8,Severe Delay
25.67,15,0,Low,Clear,Urban,0.8,4,7.5,Moderate Delay
26.15,3,5,Medium,Clear,Urban,2.2,3,43.7,Severe Delay
21.54,11,5,Medium,Snow,Rural,4.3,2,50.8,Severe Delay
25.27,6,0,High,Clear,Rural,2.2,4,48.8,Severe Delay
21.23,13,0,Low,Rain,Urban,4.2,2,20.7,Severe Delay
20.72,22,2,Medium,Rain,Urban,3.5,0,103.4,Severe Delay
18.94,11,0,Medium,Clear,Urban,2.8,3,30.8,Severe Delay
22.83,2,0,Medium,Clear,Rural,1.6,1,7.0,Moderate Delay
5.6,4,4,Medium,Clear,Urban,4.6,3,7.1,Moderate Delay
26.55,16,5,Low,Rain,Urban,0.7,1,31.7,Severe Delay
26.28,9,2,Medium,Rain,Suburban,3.6,0,161.1,Severe Delay
1.85,9,5,Medium,Clear,Urban,3.3,2,6.8,Moderate Delay
24.95,10,2,High,Rain,Rural,2.5,0,147.1,Severe Delay
4.74,16,5,Low,Clear,Urban,1.6,3,0.3,No Delay
10.72,4,0,Medium,Rain,Urban,2.4,1,26.2,Severe Delay
22.56,12,5,High,Fog,Suburban,4.4,1,125.8,Severe Delay
5.66,9,5,Medium,Fog,Urban,4.3,3,30.9,Severe Delay
24.72,8,2,High,Rain,Urban,4.7,3,219.6,Severe Delay
25.13,16,6,High,Clear,Urban,1.9,0,178.8,Severe Delay
15.72,0,1,Low,Snow,Urban,2.2,4,35.9,Severe Delay
1.19,3,2,Medium,Clear,Rural,0.6,1,1.0,No Delay
9.32,3,2,Low,Rain,Urban,4.7,3,7.2,Moderate Delay
18.89,17,2,Medium,Clear,Rural,2.0,0,57.3,Severe Delay
29.45,8,3,Low,Snow,Suburban,2.3,4,87.8,Severe Delay
19.32,17,6,Medium,Rain,Urban,4.6,2,86.9,Severe Delay
8.53,13,3,Medium,Rain,Urban,2.9,3,21.7,Severe Delay
19.39,14,3,Medium,Clear,Suburban,3.0,4,22.0,Severe Delay
16.66,5,2,Low,Rain,Urban,1.3,2,17.3,Severe Delay
23.62,23,1,High,Rain,Urban,2.7,2,135.9,Severe Delay
4.1,9,2,Low,Rain,Urban,4.6,0,21.7,Severe Delay
23.07,14,0,Low,Clear,Suburban,3.0,1,0.0,No Delay
16.7,3,1,Low,Clear,Suburban,1.6,3,0.0,No Delay
28.93,17,3,High,Clear,Urban,0.6,4,187.4,Severe Delay
10.91,17,5,High,Clear,Suburban,2.0,2,54.6,Severe Delay
19.35,16,5,Medium,Clear,Suburban,3.1,1,19.5,Severe Delay
28.03,11,6,High,Clear,Urban,0.7,2,112.7,Severe Delay
3.97,6,4,Low,Clear,Rural,3.2,3,1.1,No Delay
28.18,15,6,High,Clear,Suburban,2.9,3,82.5,Severe Delay
20.95,10,1,Low,Clear,Rural,4.0,0,10.7,Severe Delay
2.97,13,3,Low,Snow,Urban,0.6,3,3.9,Moderate Delay
9.73,2,1,Low,Clear,Rural,4.0,3,0.0,No Delay
21.54,18,1,Medium,Clear,Suburban,2.8,3,45.6,Severe Delay
2.95,17,5,Medium,Clear,Suburban,2.2,1,6.2,Moderate Delay
17.88,9,2,Low,Rain,Suburban,4.8,4,27.8,Severe Delay
11.03,5,0,High,Snow,Urban,1.2,4,99.6,Severe Delay
19.01,12,4,Medium,Clear,Rural,2.9,3,8.6,Moderate Delay
2.33,9,3,Low,Clear,Suburban,1.9,4,1.8,No Delay
26.27,17,1,Medium,Snow,Urban,2.9,3,184.0,Severe Delay
29.23,19,4,Medium,Clear,Urban,3.0,4,91.7,Severe Delay
29.1,15,1,High,Clear,Urban,0.9,4,116.6,Severe Delay
22.74,5,5,Medium,Clear,Suburban,3.5,2,22.2,Severe Delay
4.77,12,0,Medium,Clear,Suburban,3.4,1,4.5,Moderate Delay
22.99,3,5,Low,Snow,Urban,4.0,2,52.9,Severe Delay
1.71,22,4,Medium,Clear,Urban,0.9,2,4.4,Moderate Delay
1.64,13,3,High,Snow,Suburban,1.8,4,13.7,Severe Delay
10.38,0,1,Low,Snow,Suburban,3.4,0,33.4,Severe Delay
15.17,19,0,High,Clear,Urban,1.1,0,159.5,Severe Delay
23.34,4,5,Medium,Clear,Urban,3.5,1,36.1,Severe Delay
20.82,7,4,Low,Clear,Urban,0.8,3,29.0,Severe Delay
13.93,11,5,High,Clear,Rural,2.0,4,29.9,Severe Delay
8.94,1,1,Medium,Clear,Suburban,4.3,1,6.2,Moderate Delay
29.92,11,1,Low,Rain,Rural,4.0,2,0.3,No Delay
13.36,4,3,Low,Clear,Urban,3.4,4,4.7,Moderate Delay
14.09,21,0,Low,Snow,Rural,4.4,2,13.5,Severe Delay
5.75,4,2,High,Clear,Suburban,3.7,1,15.4,Severe Delay
24.05,12,5,Medium,Rain,Urban,2.8,0,120.0,Severe Delay
21.12,8,1,High,Fog,Urban,4.9,1,222.4,Severe Delay
7.4,9,4,Low,Clear,Suburban,3.6,4,7.4,Moderate Delay
3.39,0,5,Low,Clear,Rural,3.2,4,0.0,No Delay
20.73,2,3,Low,Clear,Urban,2.3,3,6.8,Moderate Delay
19.98,17,3,Medium,Clear,Urban,4.6,0,108.7,Severe Delay
8.92,11,1,High,Clear,Suburban,1.8,4,26.0,Severe Delay
28.58,2,1,Medium,Clear,Rural,0.5,0,45.2,Severe Delay
5.38,8,1,Low,Clear,Suburban,1.4,4,6.0,Moderate Delay
13.54,1,6,High,Snow,Urban,1.0,0,194.3,Severe Delay
28.36,2,2,Medium,Clear,Urban,1.9,1,43.0,Severe Delay
13.17,13,1,Low,Clear,Urban,4.2,0,23.0,Severe Delay
19.52,3,5,High,Clear,Rural,3.4,2,40.5,Severe Delay
12.53,18,5,Low,Clear,Suburban,1.3,1,9.0,Moderate Delay
8.95,12,6,Low,Clear,Suburban,4.0,4,1.5,No Delay
29.54,6,6,Low,Snow,Urban,2.8,4,66.9,Severe Delay
12.87,11,0,Medium,Clear,Rural,2.8,3,6.0,Moderate Delay
26.93,2,4,Medium,Clear,Suburban,2.1,2,31.8,Severe Delay
7.67,22,1,Low,Clear,Rural,4.4,3,0.0,No Delay
7.18,22,5,Low,Clear,Suburban,1.9,1,0.0,No Delay
1.9,8,6,Medium,Clear,Rural,0.9,3,0.0,No Delay
19.9,1,5,High,Rain,Rural,1.9,1,63.8,Severe Delay
11.69,21,5,Medium,Clear,Urban,3.7,3,20.7,Severe Delay
26.07,8,6,Low,Clear,Rural,3.5,0,34.0,Severe Delay
14.72,11,2,Low,Rain,Urban,1.3,1,17.6,Severe Delay
29.08,11,6,Low,Clear,Suburban,1.0,1,0.0,No Delay
6.38,14,6,Low,Clear,Rural,3.5,0,1.8,No Delay
26.19,1,4,Medium,Snow,Urban,3.5,0,203.2,Severe Delay
23.52,17,6,Medium,Clear,Suburban,2.1,2,48.0,Severe Delay
23.36,12,3,Medium,Rain,Suburban,4.3,0,89.6,Severe Delay
25.5,13,6,Medium,Clear,Suburban,4.9,3,27.5,Severe Delay
23.07,4,5,Low,Clear,Rural,1.4,0,8.9,Moderate Delay
19.16,9,1,Low,Clear,Suburban,3.1,0,42.2,Severe Delay
4.81,11,5,Medium,Clear,Rural,0.5,1,1.7,No Delay
1.94,9,4,Low,Clear,Urban,3.7,1,6.5,Moderate Delay
27.7,23,3,Low,Clear,Urban,2.4,0,45.1,Severe Delay
18.88,10,6,Low,Fog,Urban,1.4,2,27.7,Severe Delay
24.1,1,2,Low,Rain,Suburban,3.9,1,12.7,Severe Delay
14.96,4,0,Low,Clear,Urban,4.1,3,6.2,Moderate Delay
4.4,6,6,High,Clear,Suburban,1.0,3,15.7,Severe Delay
4.63,5,1,High,Fog,Urban,0.7,0,54.6,Severe Delay
20.88,21,0,Low,Rain,Suburban,2.0,0,41.7,Severe Delay
13.48,22,2,Low,Clear,Urban,3.3,2,3.1,Moderate Delay
6.82,2,4,Medium,Fog,Suburban,4.1,0,33.7,Severe Delay
15.26,12,4,Low,Clear,Suburban,3.0,4,0.0,No Delay
2.86,2,2,Low,Clear,Rural,3.1,4,0.0,No Delay
17.88,23,5,Low,Clear,Suburban,4.1,0,19.6,Severe Delay
8.8,20,2,Low,Fog,Suburban,2.9,4,7.7,Moderate Delay
24.13,5,6,Medium,Snow,Rural,3.3,3,53.1,Severe Delay
10.0,10,1,High,Snow,Suburban,2.8,0,114.3,Severe Delay
14.2,16,3,Low,Clear,Urban,4.5,3,5.9,Moderate Delay
1.34,9,6,Low,Snow,Rural,1.6,3,4.1,Moderate Delay
3.1,11,6,Low,Clear,Suburban,1.7,4,0.0,No Delay
12.38,16,6,Low,Clear,Urban,1.1,2,3.8,Moderate Delay
14.92,3,0,High,Clear,Suburban,4.2,3,45.2,Severe Delay
18.4,1,0,Medium,Clear,Rural,2.4,4,8.5,Moderate Delay
9.46,10,4,Medium,Rain,Rural,2.1,2,11.0,Severe Delay
21.15,6,6,Medium,Clear,Rural,4.9,4,8.2,Moderate Delay
25.94,1,5,High,Snow,Urban,4.7,4,226.8,Severe Delay
23.62,17,4,High,Clear,Urban,4.9,0,252.1,Severe Delay
2.15,20,1,Low,Clear,Urban,1.1,1,3.3,Moderate Delay
14.93,3,2,Low,Snow,Urban,4.5,2,33.5,Severe Delay
4.04,7,0,Medium,Clear,Rural,2.0,4,4.5,Moderate Delay
8.02,19,6,Low,Rain,Urban,0.6,3,20.4,Severe Delay
29.61,13,1,High,Rain,Suburban,2.3,3,133.6,Severe Delay
5.13,11,4,Medium,Clear,Suburban,2.8,1,6.3,Moderate Delay
15.47,21,4,High,Rain,Suburban,1.0,2,70.2,Severe Delay
18.93,20,0,Low,Clear,Urban,2.9,0,31.0,Severe Delay
21.37,17,4,High,Fog,Urban,4.2,2,225.7,Severe Delay
17.23,10,5,Low,Clear,Urban,2.2,3,2.9,No Delay
1.28,7,4,High,Clear,Urban,2.1,3,8.6,Moderate Delay
10.47,1,3,Low,Clear,Rural,2.0,0,5.6,Moderate Delay
16.01,14,2,Medium,Clear,Rural,4.7,0,26.2,Severe Delay
3.55,8,4,Medium,Rain,Urban,0.7,3,14.7,Severe Delay
11.17,18,3,Medium,Snow,Rural,2.5,4,44.1,Severe Delay
1.96,19,1,Medium,Rain,Urban,1.7,4,13.8,Severe Delay
3.28,7,4,High,Clear,Suburban,4.5,0,28.6,Severe Delay
12.51,18,5,Medium,Snow,Urban,0.9,4,83.8,Severe Delay
4.85,4,1,Medium,Clear,Suburban,2.4,0,11.0,Severe Delay
17.46,10,6,Low,Clear,Urban,2.3,2,6.5,Moderate Delay
20.99,14,4,High,Clear,Urban,4.5,2,81.5,Severe Delay
24.22,7,0,Medium,Clear,Urban,1.5,2,73.4,Severe Delay
6.8,18,3,Medium,Fog,Urban,3.4,0,62.5,Severe Delay
5.86,22,3,Low,Clear,Suburban,1.1,0,6.3,Moderate Delay
4.03,7,0,Medium,Clear,Urban,4.8,4,11.7,Severe Delay
19.46,18,2,Low,Rain,Suburban,3.2,4,30.5,Severe Delay
21.49,17,6,Low,Snow,Suburban,3.3,4,64.7,Severe Delay
1.92,9,5,Medium,Fog,Suburban,2.5,1,10.0,Moderate Delay
28.15,6,3,Low,Clear,Suburban,2.0,0,28.3,Severe Delay
2.51,8,1,Low,Rain,Urban,1.5,2,5.5,Moderate Delay
16.7,0,5,Medium,Clear,Suburban,3.2,2,17.4,Severe Delay
21.56,18,3,Low,Clear,Rural,4.8,1,5.2,Moderate Delay
26.26,4,6,Low,Snow,Suburban,2.1,1,39.8,Severe Delay
21.71,18,2,Low,Snow,Suburban,4.5,2,67.4,Severe Delay
24.25,0,6,Medium,Fog,Suburban,1.2,0,113.9,Severe Delay
10.84,14,1,Medium,Clear,Urban,4.7,2,16.7,Severe Delay
24.63,15,6,Medium,Fog,Suburban,2.1,2,58.5,Severe Delay
3.32,22,5,Low,Snow,Rural,2.2,1,4.6,Moderate Delay
26.95,6,1,Low,Clear,Urban,2.6,1,11.0,Severe Delay
16.88,11,0,Low,Clear,Rural,3.7,4,0.0,No Delay
24.7,7,4,Medium,Rain,Urban,3.7,1,114.1,Severe Delay
14.12,4,0,High,Clear,Urban,2.7,2,58.1,Severe Delay
19.66,9,5,Low,Snow,Rural,2.9,4,38.5,Severe Delay
16.27,20,4,Low,Clear,Rural,0.6,2,0.0,No Delay
22.22,4,0,Low,Rain,Rural,1.9,0,24.7,Severe Delay
3.37,16,4,Medium,Rain,Rural,2.1,0,8.7,Moderate Delay
2.75,4,3,Medium,Clear,Urban,3.0,1,2.8,No Delay
8.17,21,6,Medium,Fog,Suburban,3.0,4,23.3,Severe Delay
5.63,14,1,High,Clear,Urban,3.7,3,24.5,Severe Delay
26.28,12,4,Medium,Clear,Urban,3.7,0,90.2,Severe Delay
7.36,0,3,Low,Clear,Urban,1.6,0,14.5,Severe Delay
29.3,10,6,Low,Clear,Suburban,4.0,0,30.2,Severe Delay
10.77,22,6,Medium,Rain,Suburban,0.6,0,40.9,Severe Delay
6.28,0,2,Medium,Snow,Rural,3.7,1,13.7,Severe Delay
23.9,10,0,Medium,Clear,Suburban,1.0,4,24.7,Severe Delay
20.1,17,2,Medium,Clear,Urban,3.8,0,109.0,Severe Delay
15.45,17,5,Medium,Clear,Suburban,2.9,1,35.7,Severe Delay
17.11,20,3,High,Rain,Urban,2.5,4,96.0,Severe Delay
21.86,15,2,Medium,Snow,Urban,3.6,4,100.1,Severe Delay
7.63,12,2,Medium,Rain,Rural,0.7,3,9.5,Moderate Delay
29.89,6,6,Low,Rain,Suburban,1.5,2,21.8,Severe Delay
29.27,0,3,Medium,Clear,Rural,3.3,0,47.2,Severe Delay
19.86,15,6,High,Clear,Suburban,4.3,1,60.9,Severe Delay
6.79,0,1,Low,Rain,Suburban,2.2,4,5.5,Moderate Delay
20.73,16,4,Medium,Rain,Suburban,1.7,3,37.6,Severe Delay
3.09,5,5,Medium,Rain,Urban,2.8,2,6.1,Moderate Delay
1.89,1,5,Low,Fog,Urban,3.3,4,1.2,No Delay
8.47,16,0,Medium,Rain,Urban,2.4,4,22.6,Severe Delay
14.42,5,6,Low,Rain,Urban,4.4,0,38.6,Severe Delay
26.18,13,4,High,Snow,Urban,2.9,2,230.5,Severe Delay
22.09,17,0,High,Snow,Rural,0.7,2,179.5,Severe Delay
22.54,5,5,Low,Clear,Suburban,1.5,1,0.0,No Delay
13.34,9,4,Low,Clear,Suburban,2.5,3,12.3,Severe Delay
11.03,23,2,Medium,Clear,Urban,3.6,1,18.5,Severe Delay
11.76,17,1,Low,Rain,Urban,1.5,3,31.0,Severe Delay
29.64,8,2,Low,Clear,Urban,4.9,1,41.2,Severe Delay
2.16,7,1,Medium,Clear,Suburban,1.9,3,4.6,Moderate Delay
26.14,9,6,Low,Clear,Urban,2.9,0,83.8,Severe Delay
17.78,16,3,Low,Rain,Suburban,0.6,3,10.5,Severe Delay
13.72,22,0,High,Clear,Suburban,4.5,1,41.7,Severe Delay
22.03,5,0,High,Clear,Suburban,4.0,2,67.0,Severe Delay
15.11,13,3,Medium,Clear,Urban,1.4,4,26.0,Severe Delay
26.33,21,4,High,Rain,Suburban,4.7,3,118.7,Severe Delay
27.12,21,3,Low,Clear,Suburban,1.9,3,5.5,Moderate Delay
13.23,5,6,Low,Clear,Suburban,3.6,2,0.0,No Delay
9.03,6,5,Low,Rain,Urban,4.2,0,27.2,Severe Delay
18.18,11,3,Medium,Clear,Urban,3.8,1,26.2,Severe Delay
27.46,2,1,High,Clear,Urban,4.6,0,190.3,Severe Delay
7.11,13,5,Medium,Rain,Rural,4.4,3,4.9,Moderate Delay
19.07,21,3,High,Clear,Urban,5.0,3,74.4,Severe Delay
19.32,18,0,Medium,Rain,Rural,1.3,0,84.7,Severe Delay
22.26,22,2,Low,Clear,Urban,1.9,1,9.1,Moderate Delay
4.82,15,1,Medium,Clear,Urban,3.4,3,5.9,Moderate Delay
21.76,6,6,Low,Rain,Suburban,3.8,3,16.1,Severe Delay
27.36,7,1,Low,Rain,Urban,2.9,0,125.5,Severe Delay
6.21,17,4,Medium,Clear,Rural,0.8,4,8.6,Moderate Delay
7.89,12,2,Medium,Clear,Rural,4.3,2,3.7,Moderate Delay
29.17,20,1,Medium,Fog,Suburban,4.8,3,74.2,Severe Delay
6.25,8,3,Medium,Rain,Suburban,2.3,1,24.0,Severe Delay
25.78,9,1,Low,Clear,Suburban,1.5,4,19.6,Severe Delay
15.28,20,1,Medium,Rain,Rural,0.6,0,39.6,Severe Delay
8.17,22,1,Medium,Clear,Urban,1.6,0,28.6,Severe Delay
26.25,8,4,Low,Clear,Suburban,3.6,1,24.1,Severe Delay
13.91,14,1,High,Clear,Suburban,4.6,4,39.0,Severe Delay
15.93,19,1,Medium,Clear,Rural,0.9,1,22.5,Severe Delay
11.42,1,4,Medium,Clear,Rural,3.0,3,7.1,Moderate Delay
18.2,12,5,High,Clear,Rural,3.6,4,37.6,Severe Delay
5.74,1,2,High,Clear,Suburban,1.7,2,17.9,Severe Delay
12.34,18,6,High,Clear,Urban,3.1,2,80.1,Severe Delay
29.11,1,5,Low,Clear,Suburban,3.7,1,3.6,Moderate Delay
8.49,2,0,Low,Clear,Suburban,4.3,2,1.6,No Delay
20.05,5,4,Low,Rain,Suburban,2.5,1,8.9,Moderate Delay
10.43,2,4,Low,Clear,Urban,3.9,3,4.0,Moderate Delay
23.43,9,1,High,Rain,Suburban,1.9,3,166.5,Severe Delay
4.8,23,1,Medium,Clear,Urban,1.5,1,9.7,Moderate Delay
29.12,5,6,Low,Clear,Rural,1.3,3,0.0,No Delay
14.16,22,0,Low,Clear,Urban,2.1,2,5.7,Moderate Delay
7.85,15,1,Low,Snow,Suburban,0.7,3,12.6,Severe Delay
3.13,16,3,Medium,Clear,Urban,1.8,2,5.5,Moderate Delay
5.92,18,1,Medium,Clear,Urban,3.4,2,17.8,Severe Delay
16.07,2,1,High,Rain,Rural,3.4,0,92.4,Severe Delay
10.77,17,3,High,Snow,Urban,0.8,3,141.0,Severe Delay
25.04,6,0,Low,Snow,Urban,1.8,3,58.7,Severe Delay
13.5,8,3,Low,Clear,Urban,3.1,1,19.6,Severe Delay
8.21,19,4,Low,Clear,Suburban,1.9,1,12.0,Severe Delay
18.9,11,3,Low,Rain,Suburban,2.4,4,8.7,Moderate Delay
21.5,4,2,High,Clear,Urban,3.7,2,87.2,Severe Delay
5.84,2,4,Medium,Rain,Suburban,0.5,0,25.4,Severe Delay
5.86,10,1,Medium,Fog,Urban,1.7,2,18.4,Severe Delay
2.06,3,6,Medium,Rain,Rural,1.1,3,3.7,Moderate Delay
22.36,4,4,Low,Clear,Rural,1.1,4,0.0,No Delay
20.25,0,0,Low,Clear,Rural,4.8,2,0.0,No Delay
14.76,17,0,Medium,Rain,Rural,2.2,4,33.5,Severe Delay
25.48,11,3,Medium,Clear,Urban,2.9,2,40.6,Severe Delay
24.36,12,4,Low,Clear,Urban,3.8,3,9.5,Moderate Delay
17.98,8,1,Medium,Clear,Suburban,0.7,3,41.1,Severe Delay
26.18,1,0,High,Clear,Urban,1.6,2,101.8,Severe Delay
6.97,4,5,Medium,Clear,Urban,4.2,0,25.4,Severe Delay
4.25,12,1,Medium,Fog,Urban,4.4,3,16.1,Severe Delay
8.82,15,5,Medium,Clear,Urban,2.2,1,14.7,Severe Delay
2.66,15,2,Medium,Clear,Suburban,2.2,0,11.2,Severe Delay
16.4,23,5,Medium,Clear,Urban,3.9,2,28.7,Severe Delay
28.16,2,0,High,Clear,Urban,1.8,0,196.1,Severe Delay
2.14,21,3,Low,Snow,Suburban,1.0,1,1.0,No Delay
4.54,3,2,Medium,Fog,Urban,1.7,3,14.1,Severe Delay
14.11,10,4,Low,Clear,Rural,2.2,3,0.0,No Delay
28.08,22,1,Low,Rain,Urban,0.7,3,27.8,Severe Delay
10.17,13,0,Medium,Clear,Suburban,2.7,1,11.2,Severe Delay
15.71,2,2,High,Snow,Urban,3.8,0,220.5,Severe Delay
2.21,15,2,Low,Clear,Urban,2.8,2,1.4,No Delay
5.3,21,0,Low,Clear,Urban,0.8,2,4.0,Moderate Delay
29.61,14,4,Low,Clear,Suburban,2.5,0,32.4,Severe Delay
28.99,9,4,Medium,Fog,Rural,3.7,3,87.6,Severe Delay
1.14,8,3,Low,Clear,Suburban,0.8,2,0.0,No Delay
28.6,10,6,Low,Rain,Urban,0.8,3,34.7,Severe Delay
19.53,15,5,Medium,Clear,Urban,2.2,4,34.3,Severe Delay
26.17,9,4,Low,Snow,Urban,1.4,4,107.3,Severe Delay
14.19,16,3,Medium,Clear,Urban,4.7,2,21.3,Severe Delay
15.95,18,5,Medium,Snow,Urban,3.1,0,182.5,Severe Delay
15.18,1,2,Low,Clear,Rural,1.8,0,8.3,Moderate Delay
20.34,23,0,Medium,Clear,Suburban,3.7,0,50.7,Severe Delay
5.05,22,4,Medium,Snow,Suburban,2.2,3,19.6,Severe Delay
1.87,1,3,Medium,Snow,Suburban,1.1,4,5.0,Moderate Delay
9.93,5,2,Medium,Rain,Rural,1.6,3,13.3,Severe Delay
21.44,18,4,Low,Clear,Urban,3.4,1,32.0,Severe Delay
6.85,7,1,High,Clear,Suburban,0.7,1,33.8,Severe Delay
20.53,2,6,Medium,Clear,Rural,1.7,2,8.8,Moderate Delay
29.13,13,2,Low,Clear,Urban,1.4,1,9.3,Moderate Delay
3.72,15,4,Low,Clear,Urban,1.4,0,3.7,Moderate Delay
20.51,0,2,Low,Clear,Rural,3.6,2,0.0,No Delay
13.87,20,0,Low,Rain,Suburban,4.2,4,7.2,Moderate Delay
26.18,2,0,Medium,Rain,Urban,3.7,4,70.6,Severe Delay
6.14,21,6,Low,Clear,Suburban,3.4,1,0.3,No Delay
21.09,17,0,Low,Clear,Urban,4.6,1,30.0,Severe Delay
25.31,8,5,Medium,Clear,Urban,0.8,4,78.0,Severe Delay
28.39,5,1,Low,Rain,Urban,1.3,1,33.6,Severe Delay
20.81,22,0,Medium,Clear,Urban,2.4,1,33.8,Severe Delay
15.42,20,1,Medium,Rain,Suburban,2.2,3,29.9,Severe Delay
